sent_model,target,ticker,approach,mae,dir_acc
Gemma-3-1B,gap,GOOGL,Extreme-Mag,0.006856979584236962,0.13333333333333333
Gemma-3-1B,gap,GOOGL,Bayesian,0.006477449409467406,0.28888888888888886
Gemma-3-1B,gap,GOOGL,Ridge,0.00636549086541253,0.4888888888888889
Gemma-3-1B,gap,META,Naive,0.006006785990208977,0.0
Gemma-3-1B,gap,META,Gated-Naive,0.006006785990208977,0.0
Gemma-3-1B,gap,META,Sent×Vol,0.006006785990208977,0.0
Gemma-3-1B,gap,META,Dir-Nudge,0.006006785990208977,0.0
Gemma-3-1B,gap,META,Extreme-Mag,0.006006785990208977,0.0
Gemma-3-1B,gap,META,Bayesian,0.006006785990208977,0.0
Gemma-3-1B,gap,META,Ridge,0.006770371897876805,0.6444444444444445
Gemma-3-1B,gap,MSFT,Naive,0.004763336335085546,0.0
Gemma-3-1B,gap,MSFT,Gated-Naive,0.004763336335085546,0.0
Gemma-3-1B,gap,MSFT,Sent×Vol,0.004763336335085546,0.0
Gemma-3-1B,gap,MSFT,Dir-Nudge,0.004763336335085546,0.0
Gemma-3-1B,gap,MSFT,Extreme-Mag,0.004763336335085546,0.0
Gemma-3-1B,gap,MSFT,Bayesian,0.004763336335085546,0.0
Gemma-3-1B,gap,MSFT,Ridge,0.004616942234592787,0.6666666666666666
Gemma-3-1B,gap,NVDA,Naive,0.011581374583939385,0.0
Gemma-3-1B,gap,NVDA,Gated-Naive,0.009881211000942039,0.2222222222222222
Gemma-3-1B,gap,NVDA,Sent×Vol,0.009943016017059917,0.4888888888888889
Gemma-3-1B,gap,NVDA,Dir-Nudge,0.011581374583939385,0.0
Gemma-3-1B,gap,NVDA,Extreme-Mag,0.009739553331679378,0.2222222222222222
Gemma-3-1B,gap,NVDA,Bayesian,0.011032721546102417,0.4888888888888889
Gemma-3-1B,gap,NVDA,Ridge,0.010727682469729712,0.6222222222222222
Gemma-3-1B,gap,TSLA,Naive,0.015218778994813333,0.0
Gemma-3-1B,gap,TSLA,Gated-Naive,0.015283793940206462,0.13333333333333333
Gemma-3-1B,gap,TSLA,Sent×Vol,0.015024540147644304,0.4
Gemma-3-1B,gap,TSLA,Dir-Nudge,0.015218778994813333,0.0
Gemma-3-1B,gap,TSLA,Extreme-Mag,0.01576721336037375,0.13333333333333333
Gemma-3-1B,gap,TSLA,Bayesian,0.01498999891631472,0.4
Gemma-3-1B,gap,TSLA,Ridge,0.015112155607147433,0.6
Gemma-3-1B,cc,AAPL,Naive,0.009596211000003768,0.0
Gemma-3-1B,cc,AAPL,Gated-Naive,0.009596211000003768,0.0
Gemma-3-1B,cc,AAPL,Sent×Vol,0.009596211000003768,0.0
Gemma-3-1B,cc,AAPL,Dir-Nudge,0.009596211000003768,0.0
Gemma-3-1B,cc,AAPL,Extreme-Mag,0.009596211000003768,0.13333333333333333
Gemma-3-1B,cc,AAPL,Bayesian,0.009596211000003768,0.0
Gemma-3-1B,cc,AAPL,Ridge,0.009539772072123318,0.5555555555555556
Gemma-3-1B,cc,AMZN,Naive,0.012459625343981222,0.0
Gemma-3-1B,cc,AMZN,Gated-Naive,0.012459625343981222,0.0
Gemma-3-1B,cc,AMZN,Sent×Vol,0.012459625343981222,0.0
Gemma-3-1B,cc,AMZN,Dir-Nudge,0.012459625343981222,0.0
Gemma-3-1B,cc,AMZN,Extreme-Mag,0.012459625343981222,0.0
Gemma-3-1B,cc,AMZN,Bayesian,0.012459625343981222,0.0
Gemma-3-1B,cc,AMZN,Ridge,0.013108368715900843,0.5333333333333333
Gemma-3-1B,cc,GOOGL,Naive,0.009851698262608333,0.0
Gemma-3-1B,cc,GOOGL,Gated-Naive,0.009903547878058321,0.1590909090909091
Gemma-3-1B,cc,GOOGL,Sent×Vol,0.010055733098512688,0.2727272727272727
Gemma-3-1B,cc,GOOGL,Dir-Nudge,0.009851698262608333,0.0
Gemma-3-1B,cc,GOOGL,Extreme-Mag,0.011851662637742306,0.1590909090909091
Gemma-3-1B,cc,GOOGL,Bayesian,0.00989050226632433,0.2727272727272727
Gemma-3-1B,cc,GOOGL,Ridge,0.00946154867271912,0.6363636363636364
Gemma-3-1B,cc,META,Naive,0.009901988537885452,0.0
Gemma-3-1B,cc,META,Gated-Naive,0.010312303542163136,0.06818181818181818
Gemma-3-1B,cc,META,Sent×Vol,0.010252781530882596,0.36363636363636365
Gemma-3-1B,cc,META,Dir-Nudge,0.009901988537885452,0.0
Gemma-3-1B,cc,META,Extreme-Mag,0.009901988537885452,0.0
Gemma-3-1B,cc,META,Bayesian,0.011207012743871855,0.36363636363636365
Gemma-3-1B,cc,META,Ridge,0.010622598308524842,0.5227272727272727
Gemma-3-1B,cc,MSFT,Naive,0.007901710593846523,0.0
Gemma-3-1B,cc,MSFT,Gated-Naive,0.007901710593846523,0.0
